Filename,ID,Category,Name,Cilia SA,Cilia Points,Cilia Points/Area,Islands,Noise_Points,MaxRadius,Aspect,Circularity,Elliptical Tendency,SurfaceArea,Cilia/Body Ratio,Polarity,Cilia Distribution Homogeneity,DeviationFromNormal,Note-Body,Note-Cilia,Keep
Batch7_P1Nonmovers_Bots1_22,15,Nonmover,Bot22,2626.598492,1330,0.041715531,67,165,25.55919589,1.1976746,0.19817364,0.21743489,31882.60998,0.08238342,0.4582018,0.17511886,0.82488114,OK,OK,TRUE
Batch7_P1Nonmovers_Bots23_50,0,Nonmover,Bot23,2867.303659,584,0.043406005,18,352,23.5159148,1.2779489,0.2780368,0.6343917,13454.35965,0.2131134,0.2876156,0.4686869,0.5313131,OK,OVEREXPOSED_FIXED,TRUE
Batch7_P1Nonmovers_Bots23_50,1,Nonmover,Bot24,682.565534,465,0.025327451,23,84,22.29563122,1.32010968,0.33525508,0.49340517,18359.52622,0.03717773,0.2979435,0.19545455,0.80454545,OK,OK,TRUE
Batch7_P1Nonmovers_Bots23_50,2,Nonmover,Bot25_26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT_FIXABLE,TWOBOT_FIXABLE,FALSE
Batch7_P1Nonmovers_Bots23_50,3,Nonmover,Bot27_28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT_FIXABLE,TWOBOT_FIXABLE,FALSE
Batch7_P1Nonmovers_Bots23_50,4,Nonmover,Bot29,2604.346569,2482,0.259245186,79,100,20.1369701,1.3433269,0.3510992,0.7478569,9573.948287,0.2720243,0.3070984,0.2737676,0.7262324,OK,OK,TRUE
Batch7_P1Nonmovers_Bots23_50,5,Nonmover,Bot30,2148.947847,963,0.097596328,46,485,20.4504575,1.3865953,0.3706373,0.7246653,9867.174517,0.2177876,0.1304399,0.4088785,0.5911215,OK,OVEREXPOSED_FIXED,TRUE
Batch7_P1Nonmovers_Bots23_50,6,Nonmover,Bot31,5181.564746,2130,0.088255414,128,913,25.1189348,1.2582213,0.2967134,0.5683737,24134.49671,0.2146954,0.2547456,0.3618547,0.6381453,OK,OVEREXPOSED_FIXED,TRUE
Batch7_P1Nonmovers_Bots23_50,7,Nonmover,Bot32,2501.025688,1617,0.072905238,78,257,29.7243721,1.3637026,0.3612214,0.5389063,22179.47622,0.1127631,0.3093233,0.2296296,0.7703704,OK,OK,TRUE
Batch7_P1Nonmovers_Bots23_50,8,Nonmover,Bot33_34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT_FIXABLE,TWOBOT_FIXABLE,FALSE
Batch7_P1Nonmovers_Bots23_50,9,Nonmover,Bot35,1485.103062,2871,0.255807905,96,123,19.8453635,1.3595458,0.3889861,0.6364312,11223.26537,0.1323236,0.1082968,0.3146853,0.6853147,OK,OK,TRUE
Batch7_P1Nonmovers_Bots23_50,10,Nonmover,Bot36,1811.480342,761,0.067813201,36,381,22.6666762,1.6237524,0.5742331,0.7633268,11222.00378,0.1614222,0.1566687,0.3546512,0.6453488,OK,OK,TRUE
Batch7_P1Nonmovers_Bots23_50,11,Nonmover,Bot37,1779.568886,725,0.076774522,30,351,18.3807087,1.1536307,0.156285,0.747505,9443.236971,0.188449,0.04870224,0.4434783,0.5565217,OK,OVEREXPOSED_FIXED,TRUE
Batch7_P1Nonmovers_Bots23_50,12,Nonmover,Bot38,3622.816959,1167,0.073157363,60,626,24.1027385,1.2113428,0.2323135,0.6752775,15951.91454,0.2271086,0.1536483,0.4042751,0.5957249,OK,OVEREXPOSED_FIXED,TRUE
Batch7_P1Nonmovers_Bots23_50,13,Nonmover,Bot39,5220.071163,2109,0.04911939,140,882,33.62856294,1.31712182,0.37276736,0.4394223,42936.20459,0.12157738,0.28157335,0.25700525,0.74299475,OK,OK,TRUE
Batch7_P1Nonmovers_Bots23_50,14,Nonmover,Bot40_41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT_FIXABLE,TWOBOT_FIXABLE,FALSE
Batch7_P1Nonmovers_Bots23_50,15,Nonmover,Bot42,1939.708916,907,0.100819393,63,429,19.2170082,1.1748624,0.2080833,0.6396643,8996.285095,0.2156122,0.04177808,0.3418803,0.6581197,OK,OVEREXPOSED_FIXED,TRUE
Batch7_P1Nonmovers_Bots23_50,16,Nonmover,Bot43_44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT_FIXABLE,TWOBOT_FIXABLE,FALSE
Batch7_P1Nonmovers_Bots23_50,17,Nonmover,Bot45,2462.950742,940,0.086577674,47,506,20.9025091,1.2887602,0.3065343,0.7782038,10857.30257,0.2268474,0.1497193,0.4541532,0.5458468,OK,OVEREXPOSED_FIXED,TRUE
Batch7_P1Nonmovers_Bots23_50,18,Nonmover,Bot46,2226.415816,1576,0.043992395,65,308,28.98063085,1.24283348,0.29006119,0.18586831,35824.37376,0.06214807,0.4830095,0.2243346,0.7756654,OK,OK,TRUE
Batch7_P1Nonmovers_Bots23_50,19,Nonmover,Bot47,3713.121469,3573,0.173482801,149,244,22.1926491,1.2707626,0.3102131,0.4037676,20595.70158,0.1802862,0.2368669,0.298784,0.701216,OK,OK,TRUE
Batch7_P1Nonmovers_Bots23_50,20,Nonmover,Bot48_49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT_FIXABLE,TWOBOT_FIXABLE,FALSE
Batch7_P1Nonmovers_Bots23_50,21,Nonmover,Bot50,2499.226171,1052,0.090178631,71,572,22.1552189,1.2175393,0.2480935,0.6388954,11665.73491,0.2142365,0.08509407,0.4395516,0.5604484,OK,OK,TRUE
Batch7_P2Nonmovers_Bots1_5,0,Nonmover,Bot1_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT_FIXABLE,TWOBOT_FIXABLE,FALSE
Batch7_P2Nonmovers_Bots1_5,1,Nonmover,Bot3,5483.483208,635,0.068326909,31,304,18.4048723,1.2132473,0.2065585,0.7866333,9293.556724,0.5900306,0.2479067,0.3888889,0.6111111,OK,OK,TRUE
Batch7_P2Nonmovers_Bots1_5,2,Nonmover,Bot4,2007.306766,721,0.073801006,30,385,20.4551876,1.2867717,0.3396758,0.7144876,9769.514554,0.2054664,0.1274261,0.3773292,0.6226708,OK,OVEREXPOSED_FIXED,TRUE
Batch7_P2Nonmovers_Bots1_5,3,Nonmover,Bot5,4450.674425,882,0.063192628,31,595,23.0272663,1.2325952,0.2234128,0.751607,13957.32428,0.3188773,0.3304246,0.5921986,0.4078014,OK,OVEREXPOSED_FIXED,TRUE
Batch7_P2Nonmovers_Bots6_42,0,Nonmover,Bot6,4805.719062,1058,0.03759034,58,684,34.97599134,1.58791608,0.56482022,0.69172624,28145.52813,0.17074539,0.03522299,0.38242894,0.61757106,OK,OVEREXPOSED_FIXED,TRUE
Batch7_P2Nonmovers_Bots6_42,1,Nonmover,Bot7,8298.559765,1795,0.11408983,144,757,28.0268922,1.7025513,0.6607854,0.6759121,15733.21653,0.5274547,0.1137068,0.4241093,0.5758907,OK,OVEREXPOSED_FIXED,TRUE
Batch7_P2Nonmovers_Bots6_42,2,Nonmover,Bot8,3787.527445,570,0.051233547,14,408,21.0987478,1.278105,0.2996887,0.6684594,11125.52282,0.3404359,0.1276957,0.5667939,0.4332061,OK,OVEREXPOSED_FIXED,TRUE
Batch7_P2Nonmovers_Bots6_42,3,Nonmover,Bot9,191.6547212,61,0.004154563,5,20,25.70529275,1.68256659,0.70141696,0.65813881,14682.65154,0.01305314,0.877195,0.0754717,0.9245283,OK,OK,TRUE
Batch7_P2Nonmovers_Bots6_42,4,Nonmover,Bot10,3365.743055,1012,0.078855535,55,515,21.3889717,1.2684317,0.3102283,0.7971498,12833.59502,0.2622603,0.2736184,0.3881579,0.6118421,OK,OVEREXPOSED_FIXED,TRUE
