Filename,ID,Category,Name,Cilia SA,Cilia Points,Cilia Points/Area,Islands,Noise_Points,MaxRadius,Aspect,Circularity,Elliptical Tendency,SurfaceArea,Cilia/Body Ratio,Polarity,Cilia Distribution Homogeneity,DeviationFromNormal,Eqn,Note-Body,Note-Cilia,Keep
P2Movers_Week2_Well1,28,Mover,Bot34,1559.253791,415,0.01301234,25,196,28.54412378,1.33643192,0.39632027,0.20133953,31892.80565,0.04889046,0.6784165,0.20047733,0.79952267,(x+y)<(180),NOT_BRIGHT,NOT_BRIGHT,FALSE
P2Movers_Week2_Well4_Bots1_16,2,Mover,Bot3,7662.552996,5148,0.06484692,219,519,43.97696747,1.40493215,0.38115536,0.122844,79386.96197,0.09652155,0.36109448,0.20790681,0.79209319,(y-3*x)<-160,TWOBOT,TWOBOT,TRUE
P2Movers_Week2_Well4_Bots1_16,2,Mover,Bot4,428.7378814,72,0.00378222,4,52,22.09265103,1.35485736,0.36302654,0.30636049,19036.43748,0.02252196,0.43234231,0.22222222,0.77777778,(y-3*x)>-160 & y>70,NOT_BRIGHT,NOT_BRIGHT,FALSE
P2Movers_Week2_Well4_Bots1_16,9,Mover,Bot11,4695.848034,1637,0.0410251,107,579,29.097045,1.1347884,0.144589,0.1304041,39902.39777,0.1176834,0.3237529,0.3027251,0.6972749,(y-x)<(-35)&(y-x)>(-155),TWOBOT,TWOBOT,TRUE
P2Movers_Week2_Well4_Bots1_16,9,Mover,Bot12,2742.045788,1906,0.04087694,72,172,29.23191427,1.07846701,0.10116418,0.18172533,46627.75735,0.05880716,0.49701582,0.18300971,0.81699029,(y-x)>(-30),NOT_BRIGHT,NOT_BRIGHT,FALSE
P2Movers_Week3_Well1_Bots1_33,3,Mover,Bot4,2626.119336,762,0.03981844,48,386,23.23601096,1.19764355,0.20930187,0.55868361,19136.86056,0.13722833,0.49212943,0.30572473,0.69427527,(y-x)>(15),TWOBOT_FIXED,OVEREXPOSED_FIXED,TRUE
P2Movers_Week3_Well1_Bots1_33,3,Mover,Bot5,3503.023168,1327,0.02430271,75,514,37.04006199,1.41172867,0.39004812,0.23221911,54602.95421,0.06415446,0.45701699,0.21940928,0.78059072,(y-x)<(15),NOT_BRIGHT,NOT_BRIGHT,FALSE
P2Movers_Week3_Well1_Bots1_33,5,Mover,Bot7,3325.963629,2409,0.1171333,117,322,24.1829549,1.4575072,0.5418833,0.3422435,20566.31921,0.161719,0.203924,0.2765957,0.7234043,(y+0.5*x)>(65)&(x<170)&(y-x)>(-15),TWOBOT,TWOBOT,TRUE
P2Movers_Week3_Well1_Bots1_33,5,Mover,Bot8,1919.603559,1462,0.0996806,78,239,19.7371208,1.3776664,0.3902039,0.4402855,14666.8462,0.1308805,0.3201288,0.2635956,0.7364044,(y+0.5*x)>(65)&(x<170)&(y-x)<(-15),TWOBOT,TWOBOT,TRUE
P2Movers_Week3_Well1_Bots1_33,6,Mover,Bot9,3566.435233,1072,0.04574119,62,556,23.37012103,1.09340814,0.09555162,0.42262317,23436.20593,0.15217631,0.22312421,0.32258065,0.67741935,(y+0.5*x)>(65)&(x<170)&(y-x)<(30),TWOBOT,OVEREXPOSED_FIXED,TRUE
P2Movers_Week3_Well1_Bots1_33,6,Mover,Bot10,3715.495521,1512,0.07423198,92,472,24.48889444,1.25918901,0.32050315,0.57087807,20368.57908,0.18241309,0.27765791,0.2903423,0.7096577,(y+0.5*x)>(65)&(x<170)&(y-x)>(30),TWOBOT,OVEREXPOSED_FIXED,TRUE
P2Movers_Week3_Well1_Bots1_33,9,Mover,Bot14,2919.269379,1461,0.1479397,109,571,20.8307334,1.3865187,0.3750814,0.7249697,9875.647069,0.2956028,0.1042098,0.3571429,0.6428571,y>5&y<150&x>110,TWOBOT,OVEREXPOSED_FIXED,TRUE
P2Movers_Week3_Well1_Bots1_33,9,Mover,Bot15,3963.359378,1586,0.05654719,120,404,29.06784809,1.58128746,0.5362048,0.5150193,28047.36998,0.14130948,0.26001926,0.25186889,0.74813111,y>5&y<150&x<110&(x+0.5*z)>(40),TWOBOT,OVEREXPOSED_FIXED,TRUE
P2Movers_Week3_Well1_Bots1_33,10,Mover,Bot16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT_TOUCHING,TWOBOT_TOUCHING,FALSE
